freq_invcm,wavlen_um,path_thermal_cm,path_thermal_mum,surface_emission_cm,surface_emission_umu,surface_reflected_cm,surface_reflected_mum,total_radiance_cm,total_radiance_mum,integral_cm,total_trans
484.0,20.661,7.73e-09,1.81e-07,1.44e-05,0.000336,0.0,0.0,1.44e-05,0.000336,0.00353,0.99937
486.0,20.576,8.58e-09,2.03e-07,1.44e-05,0.00034,0.0,0.0,1.44e-05,0.00034,0.00356,0.9993
488.0,20.492,9.43e-09,2.25e-07,1.44e-05,0.000343,0.0,0.0,1.44e-05,0.000343,0.00359,0.99923
490.0,20.408,1.1e-08,2.64e-07,1.44e-05,0.000346,0.0,0.0,1.44e-05,0.000347,0.00362,0.99911
492.0,20.325,1.21e-08,2.92e-07,1.44e-05,0.00035,0.0,0.0,1.45e-05,0.00035,0.00365,0.99902
494.0,20.243,1.23e-08,3.01e-07,1.45e-05,0.000353,0.0,0.0,1.45e-05,0.000353,0.00367,0.999
496.0,20.161,1.31e-08,3.23e-07,1.45e-05,0.000356,0.0,0.0,1.45e-05,0.000357,0.0037,0.99894
498.0,20.08,1.38e-08,3.42e-07,1.45e-05,0.00036,0.0,0.0,1.45e-05,0.00036,0.00373,0.99889
500.0,20.0,1.46e-08,3.65e-07,1.45e-05,0.000363,0.0,0.0,1.45e-05,0.000364,0.00376,0.99882
502.0,19.92,1.53e-08,3.84e-07,1.46e-05,0.000367,0.0,0.0,1.46e-05,0.000367,0.00379,0.99877
504.0,19.841,1.88e-08,4.77e-07,1.46e-05,0.00037,0.0,0.0,1.46e-05,0.000371,0.00382,0.99849
506.0,19.763,3.98e-08,1.02e-06,1.46e-05,0.000373,0.0,0.0,1.46e-05,0.000374,0.00385,0.99684
508.0,19.685,1.12e-07,2.89e-06,1.45e-05,0.000374,0.0,0.0,1.46e-05,0.000377,0.00388,0.99118
510.0,19.608,1.06e-07,2.75e-06,1.45e-05,0.000378,0.0,0.0,1.46e-05,0.000381,0.00391,0.99167
512.0,19.531,7.67e-08,2.01e-06,1.46e-05,0.000382,0.0,0.0,1.47e-05,0.000384,0.00394,0.99393
